Date,Open,High,Low,Close,Adj Close,Volume
2020-07-15,74.459999,75.809998,73.959999,75.610001,72.334839,10300700
2020-07-16,74.900002,75.139999,73.680000,74.389999,71.167679,6649300
2020-07-17,74.430000,74.550003,73.209999,74.160004,70.947670,6087500
2020-07-20,74.160004,75.220001,73.629997,74.959999,71.712990,8832700
2020-07-21,75.779999,76.800003,75.269997,75.440002,72.172203,10637500
2020-07-22,75.519997,77.330002,75.120003,77.239998,73.894218,9213100
2020-07-23,76.879997,77.070000,74.900002,75.360001,72.095673,7795100
2020-07-24,75.279999,76.000000,75.110001,75.779999,72.497482,5673400
2020-07-27,75.889999,76.709999,75.540001,76.459999,73.148018,6771100
2020-07-28,76.300003,76.389999,74.559998,74.639999,71.406853,12273400
2020-07-29,77.559998,78.489998,76.900002,77.419998,74.066437,15261100
2020-07-30,76.629997,76.980003,75.400002,76.639999,73.320221,7889800
2020-07-31,76.239998,76.540001,75.480003,76.529999,73.214989,7423800
2020-08-03,76.480003,76.599998,75.440002,75.500000,72.229614,7138300
2020-08-04,75.370003,75.489998,74.760002,75.129997,71.875633,12792400
2020-08-05,75.349998,75.989998,75.330002,75.779999,72.497482,7780800
2020-08-06,75.199997,75.919998,74.940002,75.660004,72.776421,6764800
2020-08-07,75.480003,75.930000,75.209999,75.790001,72.901466,6569300
2020-08-10,75.820000,77.669998,75.809998,77.470001,74.517433,6604300
2020-08-11,78.269997,79.980003,78.000000,78.870003,75.864082,10238500
2020-08-12,79.589996,79.690002,78.669998,79.290001,76.268074,5378000
2020-08-13,78.919998,79.639999,78.839996,79.019997,76.008354,4383400
2020-08-14,78.540001,78.930000,78.019997,78.370003,75.383141,3771300
2020-08-17,78.599998,78.959999,78.120003,78.949997,75.941025,5360400
2020-08-18,79.150002,79.360001,78.349998,78.989998,75.979515,5272700
2020-08-19,79.180000,79.389999,77.430000,77.629997,74.671333,6840600
2020-08-20,77.029999,77.650002,76.459999,77.220001,74.276962,5099500
